motif_id	coef	abs_coef	std_err	ci_95_pct_lower	ci_95_pct_upper	auc	pval	padj	padj_sig	num_peaks	percent_peaks
MA0139.1 CTCF	-1.5953101712175572	1.5953101712175572	0.0161049174367971	-1.6268752293676707	-1.5637451130674438	0.7814194753559087	0.0	0.0	1	25780	10.959952385001275
MA0138.2 REST	-1.497759308248895	1.497759308248895	0.05940341905615772	-1.6141878701575043	-1.3813307463402855	0.759031612835379	2.859435601662306e-140	5.309018767086348e-138	1	1437	0.6109174389932829
MA1102.1 CTCFL	-0.8106164942999725	0.8106164942999725	0.011620086154065833	-0.8333914446591941	-0.7878415439407509	0.746808973972487	0.0	0.0	1	24173	10.276762180086727
MA0119.1 NFIC::TLX1	-0.4946562648743114	0.4946562648743114	0.030394140259953017	-0.5542276851248782	-0.43508484462374464	0.7283234419507899	1.4918896289568512e-59	4.888132490170389e-58	1	3311	1.4076183997959357
MA0510.2 RFX5	-0.46204511995012804	0.46204511995012804	0.03642008922739096	-0.5334271831495495	-0.39066305675070656	0.7218411314818789	7.021500277990986e-37	1.1851441378305999e-35	1	1461	0.6211206530056967
MA0600.2 RFX2	-0.45106177913395973	0.45106177913395973	0.037173978025446565	-0.5239214372259184	-0.37820212104200107	0.7187633040176064	6.9923806367197e-34	1.0818766707369091e-32	1	1387	0.5896607431340872
MA0657.1 KLF13	-0.3341804030015236	0.3341804030015236	0.03799201420226967	-0.4086433825381064	-0.25971742346494076	0.7648842224217008	1.4169166482623026e-18	1.160621431003092e-17	1	1067	0.4536178896352351
MA0798.1 RFX3	-0.3208182946199594	0.3208182946199594	0.027221722689383273	-0.37417189068828743	-0.2674646985516314	0.6930077790446875	4.643316957128314e-32	6.631609090052489e-31	1	2339	0.9943882322931723
MA0502.1 NFYB	-0.27086140790367785	0.27086140790367785	0.014589869300974995	-0.2994570262727354	-0.2422657895346203	0.7096714741782364	6.164897340740621e-77	6.867695637585052e-75	1	8504	3.6153388317319957
MA0685.1 SP4	-0.26970880099235056	0.26970880099235056	0.017570362831407286	-0.30414607933721005	-0.23527152264749107	0.8614836264907405	3.530287878902922e-53	8.938047038858762e-52	1	4967	2.1116401666524953
MA0696.1 ZIC1	-0.2683288310981424	0.2683288310981424	0.027145337057058096	-0.32153271407817674	-0.215124948118108	0.7112961148712527	4.84084653880914e-23	4.493919203527818e-22	1	2538	1.078989881812771
MA0751.1 ZIC4	-0.2640754841488807	0.2640754841488807	0.015652651734255743	-0.29475411781057037	-0.23339685048719105	0.7049919836758103	7.357285915451793e-64	2.732005503271099e-62	1	7457	3.1702236204404386
MA0799.1 RFX4	-0.25718547011752757	0.25718547011752757	0.02377426348170773	-0.30378217030064053	-0.21058876993441458	0.6589157019634672	2.8346928224630165e-27	3.1578478042238004e-26	1	2958	1.2575461270300146
MA0833.1 ATF4	0.22353972337276287	0.22353972337276287	0.01809996785823123	0.18806443824929708	0.25901500849622866	0.7074053755552341	4.854044188837332e-35	7.724864609092555e-34	1	3986	1.694583793895077
MA0509.1 Rfx1	-0.2176955694068491	0.2176955694068491	0.01721646715973641	-0.25143922498094906	-0.18395191383274911	0.6203411647786993	1.1981258748249607e-36	1.9628120949338327e-35	1	5633	2.3947793554969814
MA0697.1 ZIC3	-0.2094951298923592	0.2094951298923592	0.023563957287096992	-0.25567963750830947	-0.1633106222764089	0.7112373655462491	6.083993480695404e-19	5.134521770829303e-18	1	3052	1.2975087152453022
MA0740.1 KLF14	-0.20422617392083536	0.20422617392083536	0.012703682657272147	-0.22912493440011486	-0.17932741344155587	0.8178540379674568	3.7503361934700306e-58	1.1605206998682263e-56	1	9634	4.095740158149817
MA0060.3 NFYA	-0.19780700123703526	0.19780700123703526	0.010883293528354451	-0.21913786458578782	-0.1764761378882827	0.6551463695147418	8.100124585665101e-74	6.445384848879229e-72	1	15125	6.430150497406683
MA0088.2 ZNF143	0.19103209395712498	0.19103209395712498	0.041630811489924584	0.10943720278969653	0.2726269851245534	0.6912065879322733	4.459743633464734e-06	1.3877526278434954e-05	1	586	0.249128475469773
MA0592.2 Esrra	0.18232816019539233	0.18232816019539233	0.020645060612322567	0.14186458493659365	0.222791735454191	0.6278062014997916	1.032227285279279e-18	8.581352207471022e-18	1	3111	1.3225916163591531
MA0652.1 IRF8	0.18140556723059598	0.18140556723059598	0.06312200202583503	0.057688716627895	0.30512241783329697	0.7318021543955957	0.004054526541636074	0.008426758521236168	1	276	0.11733696114275997
MA0028.2 ELK1	0.17980567746866583	0.17980567746866583	0.012307880362397411	0.1556826752323391	0.20392867970499254	0.7204299389679829	2.4614680704156e-48	5.712657146756205e-47	1	6849	2.9117421987926195
MA0742.1 Klf12	-0.17203651027796402	0.17203651027796402	0.015080386943350356	-0.2015935255598588	-0.14247949499606924	0.7312967781710695	3.8155606058867526e-30	4.9424819941370264e-29	1	6671	2.8360683615338833
MA0620.2 MITF	-0.1654798812751882	0.1654798812751882	0.022945091854439305	-0.2104514349318526	-0.1205083276185238	0.68803509662414	5.51381133245021e-13	3.4124365690830745e-12	1	3264	1.387637105688292
MA0641.1 ELF4	0.1638243647106225	0.1638243647106225	0.014026243708514515	0.13633343220355254	0.19131529721769247	0.6642168744768049	1.6158825429065987e-31	2.2501164409974387e-30	1	5311	2.2578862341637618
MA0475.2 FLI1	0.1621676537465468	0.1621676537465468	0.009482877511928403	0.1435815553533623	0.18075375213973127	0.6311574166936353	1.4562500027102972e-65	5.793794653640254e-64	1	12835	5.4565938270555225
MA0473.2 ELF1	0.16210661169421256	0.16210661169421256	0.014792390540433747	0.13311405898971143	0.1910991643987137	0.6830895207314638	6.030423371776196e-28	6.997803787665294e-27	1	4705	2.0002550803503105
MA0759.1 ELK3	0.15890014529533245	0.15890014529533245	0.008679178702764103	0.14188926762252774	0.17591102296813715	0.6486590265093393	7.118338194581735e-75	6.608190623970043e-73	1	15640	6.6490944647563985
MA0062.2 Gabpa	0.15507205174866348	0.15507205174866348	0.008603667286088556	0.13820917373296443	0.17193492976436253	0.6777741815233976	1.2639331887896134e-72	8.800134826947683e-71	1	16026	6.813196156789389
MA1418.1 IRF3	0.15308878963622363	0.15308878963622363	0.06275044433456044	0.030100178726599702	0.27607740054584756	0.7324173145330266	0.014701713054107715	0.028532592930794416	1	281	0.11946263072867953
MA0083.3 SRF	0.15300289214543208	0.15300289214543208	0.04581421873063994	0.06320867345353745	0.24279711083732672	0.8092758576986725	0.0008388775062331822	0.0019388164770617533	1	577	0.24530227021511777
MA0141.3 ESRRB	0.15232080728786285	0.15232080728786285	0.01830843587639352	0.11643693235687053	0.18820468221885517	0.6239797146336858	8.818162801789719e-17	6.637454973779559e-16	1	4101	1.7434741943712269
